NombreComuna,semana_epi_str,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
Alhué,01-2024,1,Atenciones de urgencia - Total,150,4,24,26,76,20
Alhué,01-2024,2,Atenciones de urgencia - Total Respiratorios,31,1,7,6,11,6
Alhué,01-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,0,2,0,0
Alhué,01-2024,4,Atenciones de urgencia - Influenza (J09-J11),1,0,1,0,0,0
Alhué,01-2024,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,0,0,2,2
Alhué,01-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",6,1,2,0,1,2
Alhué,01-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,01-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),15,0,4,4,6,1
Alhué,01-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),3,0,0,0,2,1
Alhué,01-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,01-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",3,0,0,0,3,0
Alhué,01-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",5,0,0,1,4,0
Alhué,01-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,01-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,02-2024,1,Atenciones de urgencia - Total,124,6,14,11,72,21
Alhué,02-2024,2,Atenciones de urgencia - Total Respiratorios,26,2,5,4,12,3
Alhué,02-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,0,0,2,0
Alhué,02-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,02-2024,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,1,1
Alhué,02-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",5,1,2,1,1,0
