,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,CEAR,1,1,Atenciones de urgencia - Total,55,0,3,2,34,16
1,CEAR,1,2,Atenciones de urgencia - Total Respiratorios,8,0,3,0,2,3
2,CEAR,1,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,0,0,1,1
3,CEAR,1,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
4,CEAR,1,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
5,CEAR,1,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,0,0,1,1
6,CEAR,1,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
7,CEAR,1,10,Atenciones de urgencia - IRA Alta (J00-J06),4,0,3,0,0,1
8,CEAR,1,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
9,CEAR,1,25,Hospitalizaciones - Total,0,0,0,0,0,0
10,CEAR,1,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
11,CEAR,1,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",27,0,0,2,21,4
12,CEAR,1,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
13,CEAR,1,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
14,CEAR,2,1,Atenciones de urgencia - Total,79,4,2,6,62,5
15,CEAR,2,2,Atenciones de urgencia - Total Respiratorios,13,3,2,3,5,0
16,CEAR,2,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
17,CEAR,2,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
18,CEAR,2,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,1,0
19,CEAR,2,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,1,0,0,1,0
20,CEAR,2,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
21,CEAR,2,10,Atenciones de urgencia - IRA Alta (J00-J06),10,2,2,3,3,0
22,CEAR,2,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
23,CEAR,2,25,Hospitalizaciones - Total,0,0,0,0,0,0
24,CEAR,2,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",4,0,0,0,4,0
25,CEAR,2,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",37,0,0,2,31,4
26,CEAR,2,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
27,CEAR,2,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
28,CEAR,3,1,Atenciones de urgencia - Total,29,2,1,0,19,7
29,CEAR,3,2,Atenciones de urgencia - Total Respiratorios,3,1,0,0,2,0
30,CEAR,3,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),1,0,0,0,1,0
31,CEAR,3,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
32,CEAR,3,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
33,CEAR,3,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
34,CEAR,3,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
35,CEAR,3,10,Atenciones de urgencia - IRA Alta (J00-J06),1,1,0,0,0,0
36,CEAR,3,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
37,CEAR,3,25,Hospitalizaciones - Total,0,0,0,0,0,0
38,CEAR,3,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",2,0,0,0,1,1
39,CEAR,3,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",14,0,1,0,11,2
40,CEAR,3,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
41,CEAR,3,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
42,CEAR,4,1,Atenciones de urgencia - Total,47,0,0,2,32,13
43,CEAR,4,2,Atenciones de urgencia - Total Respiratorios,11,0,0,2,5,4
44,CEAR,4,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),1,0,0,0,1,0
45,CEAR,4,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
46,CEAR,4,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,0,2
47,CEAR,4,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,0,1,1,0
48,CEAR,4,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
49,CEAR,4,10,Atenciones de urgencia - IRA Alta (J00-J06),4,0,0,1,3,0
50,CEAR,4,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2
51,CEAR,4,25,Hospitalizaciones - Total,0,0,0,0,0,0
52,CEAR,4,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",5,0,0,0,3,2
53,CEAR,4,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",17,0,0,0,16,1
54,CEAR,4,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
55,CEAR,4,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
56,CEAR,5,1,Atenciones de urgencia - Total,49,0,5,2,27,15
57,CEAR,5,2,Atenciones de urgencia - Total Respiratorios,8,0,1,0,1,6
58,CEAR,5,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
59,CEAR,5,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
60,CEAR,5,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,0,1
61,CEAR,5,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
62,CEAR,5,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
63,CEAR,5,10,Atenciones de urgencia - IRA Alta (J00-J06),4,0,1,0,1,2
64,CEAR,5,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2
65,CEAR,5,25,Hospitalizaciones - Total,0,0,0,0,0,0
66,CEAR,5,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",2,0,0,0,2,0
67,CEAR,5,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",16,0,1,0,10,5
68,CEAR,5,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
69,CEAR,5,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
70,CEAR,6,1,Atenciones de urgencia - Total,32,1,2,1,22,6
71,CEAR,6,2,Atenciones de urgencia - Total Respiratorios,8,1,1,1,1,4
72,CEAR,6,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
73,CEAR,6,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
74,CEAR,6,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,0,1
75,CEAR,6,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
76,CEAR,6,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
77,CEAR,6,10,Atenciones de urgencia - IRA Alta (J00-J06),4,1,1,1,0,1
78,CEAR,6,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),3,0,0,0,1,2
79,CEAR,6,25,Hospitalizaciones - Total,0,0,0,0,0,0
80,CEAR,6,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",1,0,0,0,1,0
81,CEAR,6,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",16,0,0,0,15,1
82,CEAR,6,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
83,CEAR,6,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
84,CEAR,7,1,Atenciones de urgencia - Total,33,1,1,1,25,5
85,CEAR,7,2,Atenciones de urgencia - Total Respiratorios,1,0,0,0,0,1
86,CEAR,7,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),1,0,0,0,0,1
87,CEAR,7,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
88,CEAR,7,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
89,CEAR,7,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
90,CEAR,7,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
91,CEAR,7,10,Atenciones de urgencia - IRA Alta (J00-J06),0,0,0,0,0,0
92,CEAR,7,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
93,CEAR,7,25,Hospitalizaciones - Total,0,0,0,0,0,0
94,CEAR,7,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",4,0,0,0,4,0
95,CEAR,7,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",9,0,0,0,8,1
96,CEAR,7,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
97,CEAR,7,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
98,CEAR,8,1,Atenciones de urgencia - Total,36,0,2,2,28,4
99,CEAR,8,2,Atenciones de urgencia - Total Respiratorios,1,0,1,0,0,0
100,CEAR,8,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
101,CEAR,8,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
102,CEAR,8,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
103,CEAR,8,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
104,CEAR,8,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
105,CEAR,8,10,Atenciones de urgencia - IRA Alta (J00-J06),1,0,1,0,0,0
106,CEAR,8,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
107,CEAR,8,25,Hospitalizaciones - Total,0,0,0,0,0,0
108,CEAR,8,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",1,0,0,0,1,0
109,CEAR,8,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",27,0,1,2,21,3
